subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,mean_believed_alpha,median_believed_sd,median_believed_alpha
6,0.06,40,early,240,23.38871687753652,0.7185461220765421,23.15059551650775,0.7456811004296865
6,0.06,40,late,226,23.607130114766488,0.74297219293215,24.300372874477013,0.7590876550015908
6,0.06,40,middle,227,25.635462057569132,0.7424816755392905,26.323702888687574,0.7551025606138644
6,0.06,80,early,487,26.085270452986908,0.5043403476566697,27.658023751824878,0.4892291759068258
6,0.06,80,late,519,25.054666261493683,0.5172244209054807,26.235954203157444,0.5011061773966747
6,0.06,80,middle,520,26.23755672999795,0.5009814693731068,27.642987242530218,0.4816399833082128
6,0.12,10,early,191,10.390738266026627,0.9025656629270343,9.999451849551878,0.9320154668875644
6,0.12,10,late,157,10.160156742032243,0.9330702411111798,10.072139886602063,0.9433718753116304
6,0.12,10,middle,170,10.281359747042877,0.9366199599309224,10.299882932230174,0.9439037539219021
6,0.12,20,early,177,17.393949340200898,0.8446685553033217,17.179997497772995,0.8652144475661828
6,0.12,20,late,173,17.515223708733497,0.873165427485247,17.388321594271734,0.890510833643441
6,0.12,20,middle,175,17.134949878512103,0.8679831658327004,16.980077496592898,0.8940607215529653
6,0.12,40,early,164,22.9335995460989,0.738048816628287,22.89569919867541,0.7567184236575406
6,0.12,40,late,178,24.070428559285034,0.7405996246493852,24.294263251063114,0.7589829699089988
6,0.12,40,middle,176,24.425418352226203,0.7404238992211987,24.549569992160734,0.7626556439269665
6,0.12,80,early,373,26.12459130430258,0.5058975360730549,27.26960999746582,0.481772489627806
6,0.12,80,late,353,24.94870131029189,0.5219001486385186,26.25462294154235,0.4977359435281273
6,0.12,80,middle,324,26.928661686316424,0.4960120156775472,28.26946711958871,0.47581447285691275
6,0.24,10,early,93,10.427466766665592,0.9120362538191842,9.93095608436041,0.9348841634344246
6,0.24,10,late,91,10.252535733269811,0.9313346906456886,10.156221181414777,0.9441417812585858
6,0.24,10,middle,96,10.263783749909692,0.9339861286154362,10.19588060890052,0.944242692415627
6,0.24,20,early,63,19.16386541876409,0.8179224241741843,19.094295909323392,0.8623337228937134
6,0.24,20,late,66,17.417422396991252,0.8733181484212201,17.651648542898766,0.896546811022268
6,0.24,20,middle,67,16.722415136064146,0.8708250069951831,17.01427100358303,0.8851251668678073
6,0.24,40,early,65,22.40663607796946,0.7409294845515886,22.296049966311823,0.7603781978242614
6,0.24,40,late,65,23.69247879372428,0.7346862169056045,23.229875228944348,0.7387753897553209
6,0.24,40,middle,73,25.851241231770132,0.7500638113835058,27.170030201332214,0.7842584252241636
6,0.24,80,early,190,25.422772753692467,0.5138398707746918,27.54294869126172,0.497632666422648
6,0.24,80,late,178,25.072000875920534,0.5185663714441402,26.418853041133993,0.4986711445051899
6,0.24,80,middle,220,26.525635714310035,0.49662666866054456,27.935001897327687,0.4828956676347709
7,0.06,10,early,170,10.93129699574878,0.8658583640684787,10.537099692102876,0.8853019189105964
7,0.06,10,late,182,10.52515984808254,0.8803433860209295,10.117617523159925,0.898136047887544
7,0.06,10,middle,183,10.208996767907669,0.8914810317160985,10.043146459610687,0.9008813447846803
7,0.06,20,early,195,17.09466717592244,0.7753691898189591,16.140735872887742,0.8007919238551571
7,0.06,20,late,221,16.870021519593106,0.788945153465725,16.33063343060171,0.8041031955387398
7,0.06,20,middle,208,17.241861761242117,0.7821192508943331,17.149027219684633,0.8090533896460547
7,0.06,40,early,152,22.0636086946206,0.6502193290283627,22.818784097127516,0.6452448769289266
7,0.06,40,late,170,22.243679667491143,0.6521473990629814,23.244197323658987,0.6538682749190764
7,0.06,40,middle,177,22.269016052615335,0.6436234304899949,22.908495136498153,0.6441097246462213
7,0.06,80,early,397,24.879019298043012,0.5153632052524052,26.078881286559923,0.49835463849591277
7,0.06,80,late,394,25.35701002680137,0.5045788023516041,27.317364734336163,0.49133317917578645
7,0.06,80,middle,393,24.736396798261005,0.5102403881894916,26.20700913233953,0.49449163737926216
7,0.12,10,early,119,11.079852485966256,0.8624661420592695,10.53424948870052,0.8861043145665266
7,0.12,10,late,127,10.137998963481275,0.8915868762577097,9.982218887663523,0.8992364394255138
7,0.12,10,middle,122,10.371179745098255,0.8892189587416978,10.164576082622549,0.9019913855083357
7,0.12,20,early,164,17.230642450483824,0.7684228408946066,16.44529118446544,0.7954631622397765
7,0.12,20,late,135,17.359203099143432,0.784383971257801,16.780605506731995,0.8061416155838727
7,0.12,20,middle,151,16.211411314547743,0.7993028594530952,15.687787407186251,0.8126904967464015
7,0.12,40,early,131,22.638204528414068,0.6438136053829853,23.10441740854303,0.6552873044248106
7,0.12,40,late,125,22.34036054065199,0.6568015042739099,23.84362015833759,0.6550765344476478
7,0.12,40,middle,116,21.7299986892951,0.6431967074527295,23.14155727875949,0.6373499918439307
7,0.12,80,early,271,24.380159387608433,0.5214880095917955,26.287648103914364,0.5012601144596367
7,0.12,80,late,283,25.277494477709514,0.49984810205984886,27.165246911593204,0.4830442129885582
7,0.12,80,middle,271,24.53658464595923,0.5244013576943942,26.526247310053286,0.5117279764020939
7,0.24,10,early,75,10.618970707500285,0.8690440287895383,10.202459429339694,0.8895784306858505
7,0.24,10,late,55,10.140376965330914,0.8903540526309369,9.95902468923321,0.8991566258149069
7,0.24,10,middle,56,10.29531594638849,0.8874174330650895,10.109932821119266,0.8997079055262281
7,0.24,20,early,61,17.594830910679118,0.7755948097818268,17.820280619828548,0.7843956240113887
7,0.24,20,late,64,16.903823239721284,0.7967252523778232,15.703768123896511,0.8151836328695545
7,0.24,20,middle,58,16.525860813453303,0.7928679611458539,15.682685849174785,0.8033793113053926
7,0.24,40,early,56,22.71615496731535,0.6586250275980866,23.590561627113473,0.6581021864169798
7,0.24,40,late,44,22.683120436682877,0.6676906799682727,22.965269620840605,0.6760335749178072
7,0.24,40,middle,49,23.26939235473152,0.6478538381567851,23.101135195035194,0.654353876296485
7,0.24,80,early,142,25.1339095392773,0.5064745840120851,26.390533167716946,0.4956219026049723
7,0.24,80,late,133,26.21289102153828,0.49872760255844245,28.130297723992296,0.48329447950448184
7,0.24,80,middle,147,24.451857769910216,0.5109238925045644,25.73536939056071,0.5019412746378848
8,0.06,10,early,181,11.739151102326318,0.7288542562854237,11.061585736343948,0.7383802025910801
8,0.06,10,late,176,11.705429185312248,0.7312000909151412,11.105678558284787,0.7372756123339583
8,0.06,10,middle,178,11.877159348005478,0.7272216885033206,11.34572165303304,0.7326668053990801
8,0.06,20,early,207,17.431906787637192,0.6361490030677308,15.817399949969765,0.642752795528393
8,0.06,20,late,204,16.594437737844046,0.6512594148208537,15.066347336439337,0.6518498818476226
8,0.06,20,middle,213,16.41966021142688,0.6517201047869827,15.118995691031259,0.6524579138435479
8,0.06,40,early,173,20.962732645133904,0.5794331606253716,22.27345940512505,0.5773701390441063
8,0.06,40,late,166,21.603438222015914,0.568622164715146,22.987046532438427,0.570743544587589
