subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,observed_error_from_motion,predicted_error_from_motion,smoke_trial_order,block_id,trials_into_block,prev_prior_std,prior_std_change,simulated_error_from_motion,abs_simulated_error_from_motion,abs_predicted_error_from_motion,log_probability_of_simulated_response
1,2,6,8,205.0,225.44715337480397,225.0,10.0,0.06,18.885665264092474,217.0,0.01862455423615375,20.447153374803975,12.0,53,6,8,80.0,-70.0,20.447153374803975,20.447153374803975,12.0,-3.9832744486322564
1,2,6,9,225.0,218.72881414327782,225.0,10.0,0.12,18.901692014277078,225.0,0.019729270151994063,-6.271185856722184,0.0,54,6,9,80.0,-70.0,-6.271185856722184,6.271185856722184,0.0,-3.9256519514212806
1,2,7,1,235.0,279.39116211517774,225.0,20.0,0.24,32.427981005484256,231.0,0.0007219400103817869,44.391162115177735,-4.0,55,7,1,10.0,10.0,44.391162115177735,44.391162115177735,4.0,-7.233568510637325
1,2,7,2,205.0,199.50774397005947,225.0,20.0,0.06,32.44312470630421,219.0,0.010782944399529266,-5.492256029940535,14.0,56,7,2,10.0,10.0,-5.492256029940535,5.492256029940535,14.0,-4.529789615403641
1,2,7,3,225.0,234.73405575180738,225.0,20.0,0.12,32.4581369096923,225.0,0.017858587817960278,9.734055751807375,0.0,57,7,3,10.0,10.0,9.734055751807375,9.734055751807375,0.0,-4.025270776203043
1,2,7,4,225.0,317.20284905614585,225.0,20.0,0.06,32.47301875748134,225.0,0.00036158647628248893,92.20284905614585,0.0,58,7,4,10.0,10.0,92.20284905614585,92.20284905614585,0.0,-7.925009329806896
1,2,7,5,205.0,204.416524780971,225.0,20.0,0.12,32.48777138158927,215.0,0.01731482317715493,-0.5834752190289976,10.0,59,7,5,10.0,10.0,-0.5834752190289976,0.5834752190289976,10.0,-4.05619231329916
1,2,7,6,255.0,230.38805555844434,225.0,20.0,0.24,32.50239590410522,243.0,0.01591884618037606,-24.611944441555664,-12.0,60,7,6,10.0,10.0,-24.611944441555664,24.611944441555664,12.0,-4.140251577299451
1,2,7,7,205.0,195.79174001920927,225.0,20.0,0.24,32.51689343737488,213.0,0.012487866016933144,-9.208259980790729,8.0,61,7,7,10.0,10.0,-9.208259980790729,9.208259980790729,8.0,-4.382997824771698
1,2,7,8,235.0,250.40717707304626,225.0,20.0,0.12,32.53126508408511,230.0,0.010119464634026293,15.407177073046256,-5.0,62,7,8,10.0,10.0,15.407177073046256,15.407177073046256,5.0,-4.593294518298224
